2026-04-03 01:26:19,BUY,"$66,895.60",0.01495,"$1,000.09",Below SMAs
2026-04-03 06:39:44,SELL(SL),"$66,500.00",0.01495,$994.17,SL -0.5%
2026-04-03 06:41:14,BUY,"$66,557.30",0.01501,$999.03,Momentum up
2026-04-03 07:30:54,SELL(AI),"$66,388.50",0.01501,$996.49,Momentum down
2026-04-03 07:37:51,BUY,"$66,463.80",0.01502,$998.29,Above SMA 10m
2026-04-03 20:37:53,SELL(AI),"$66,873.00",0.01502,"$1,004.43",Below SMAs
2026-04-04 13:48:33,BUY,"$66,963.10",0.01491,$998.42,Above SMA
2026-04-04 15:05:49,SELL(AI),"$66,966.40",0.01491,$998.47,Above SMA 30m
2026-04-04 15:37:28,BUY,"$66,918.10",0.01494,$999.76,Volume spike
2026-04-04 20:12:47,SELL(TP),"$67,368.00",0.01494,"$1,006.48",TP +0.65%
2026-04-04 20:14:37,BUY,"$67,355.60",0.01485,"$1,000.23",Above SMAs
2026-04-05 01:04:01,SELL(SL),"$67,218.00",0.01485,$998.19,SL -0.2%
2026-04-05 01:07:24,BUY,"$67,208.20",0.01487,$999.39,Below SMAs
2026-04-05 11:24:25,SELL(SL),"$66,717.20",0.01487,$992.08,SL -0.2%
2026-04-05 11:24:43,BUY,"$66,717.20",0.01496,$998.09,Above SMA 10m
